file_name,_split,caption_token_len
coco_100098_193288.jpg,train,52
coco_10012_1730659.jpg,train,43
coco_10023_439238.jpg,train,88
coco_10040_crowd.jpg,train,71
coco_100438_crowd.jpg,train,103
coco_100553_455521.jpg,train,107
coco_100977_crowd.jpg,train,85
coco_101088_crowd.jpg,train,102
coco_101172_183092.jpg,train,98
coco_10138_228945.jpg,train,102
coco_10142_469874.jpg,train,82
coco_101491_crowd.jpg,train,89
coco_10149_191566.jpg,train,117
coco_101656_186340.jpg,train,68
coco_10192_446799.jpg,train,69
coco_102329_433925.jpg,train,69
coco_102353_451098.jpg,train,126
coco_102497_215537.jpg,train,90
coco_10249_468383.jpg,train,51
coco_102532_crowd.jpg,train,87
coco_102555_crowd.jpg,train,120
coco_102746_crowd.jpg,train,88
coco_102837_471724.jpg,train,64
coco_102872_crowd.jpg,train,71
coco_102908_430597.jpg,train,99
coco_102928_447164.jpg,train,98
coco_103114_crowd.jpg,train,71
coco_103134_crowd.jpg,train,154
coco_103227_486387.jpg,train,76
coco_103413_497545.jpg,train,96
coco_103431_crowd.jpg,train,59
coco_103462_1723204.jpg,train,91
coco_103491_1238096.jpg,train,91
coco_103579_crowd.jpg,train,85
coco_103697_435277.jpg,train,115
coco_103747_426229.jpg,train,59
coco_103837_208307.jpg,train,148
coco_103855_crowd.jpg,train,69
coco_103873_crowd.jpg,train,90
coco_10393_207348.jpg,train,140
coco_104221_crowd.jpg,train,110
coco_104340_crowd.jpg,train,89
coco_104393_crowd.jpg,train,99
coco_104406_446594.jpg,train,80
coco_104422_501299.jpg,train,156
coco_104453_480966.jpg,train,64
coco_104563_510122.jpg,train,54
coco_10463_503497.jpg,train,73
coco_104751_465120.jpg,train,69
coco_105053_448498.jpg,train,60
coco_105303_450705.jpg,train,100
coco_105448_423022.jpg,train,82
coco_105518_215078.jpg,train,87
coco_105647_crowd.jpg,train,131
coco_105872_crowd.jpg,train,92
coco_105974_452683.jpg,train,56
coco_106046_443527.jpg,train,80
coco_106073_427113.jpg,train,115
coco_106096_437341.jpg,train,90
coco_106172_202939.jpg,train,91
coco_106228_crowd.jpg,train,105
coco_106314_crowd.jpg,train,108
coco_106375_195245.jpg,train,102
coco_10644_crowd.jpg,train,113
coco_106484_216046.jpg,train,126
coco_106508_185226.jpg,train,126
coco_106739_crowd.jpg,train,57
coco_106810_198201.jpg,train,87
coco_106900_crowd.jpg,train,116
coco_107004_crowd.jpg,train,91
coco_107227_206584.jpg,train,85
coco_107360_482940.jpg,train,66
coco_107661_crowd.jpg,train,182
coco_107741_crowd.jpg,train,119
coco_10779_199503.jpg,train,76
coco_107853_433157.jpg,train,82
coco_107964_441251.jpg,train,93
coco_107990_231565.jpg,train,75
coco_108056_491704.jpg,train,84
coco_108094_crowd.jpg,train,73
coco_108130_crowd.jpg,train,54
coco_108272_crowd.jpg,train,115
coco_108425_458108.jpg,train,122
coco_108803_crowd.jpg,train,89
coco_108838_crowd.jpg,train,75
coco_108953_202629.jpg,train,69
coco_109229_442795.jpg,train,79
coco_109231_crowd.jpg,train,113
