scheme,filename,source_width,source_height,source_aspect_ratio,bucket,bucket_width,bucket_height,bucket_aspect_ratio,scale,resized_width,resized_height,crop_width_px,crop_height_px,crop_area_fraction,retained_area_fraction
conservative_9,coco_100098_193288.jpg,640,427,1.4988290398126465,1280x768,1280,768,1.6666666666666667,2.0,1280.0,854.0,0.0,86.0,0.10070257611241218,0.8992974238875878
conservative_9,coco_10012_1730659.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_10014_crowd.jpg,640,426,1.5023474178403755,1280x768,1280,768,1.6666666666666667,2.0,1280.0,852.0,0.0,84.0,0.09859154929577464,0.9014084507042254
conservative_9,coco_10023_439238.jpg,640,427,1.4988290398126465,1280x768,1280,768,1.6666666666666667,2.0,1280.0,854.0,0.0,86.0,0.10070257611241218,0.8992974238875878
conservative_9,coco_10040_crowd.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_100438_crowd.jpg,480,640,0.75,896x1152,896,1152,0.7777777777777778,1.8666666666666667,896.0,1194.6666666666667,0.0,42.66666666666674,0.03571428571428585,0.9642857142857142
conservative_9,coco_100553_455521.jpg,480,640,0.75,896x1152,896,1152,0.7777777777777778,1.8666666666666667,896.0,1194.6666666666667,0.0,42.66666666666674,0.03571428571428585,0.9642857142857142
conservative_9,coco_100977_crowd.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_101088_crowd.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_101172_183092.jpg,460,640,0.71875,896x1152,896,1152,0.7777777777777778,1.9478260869565218,896.0,1246.608695652174,0.0,94.60869565217399,0.0758928571428572,0.9241071428571428
conservative_9,coco_10138_228945.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_10142_469874.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_101491_crowd.jpg,480,640,0.75,896x1152,896,1152,0.7777777777777778,1.8666666666666667,896.0,1194.6666666666667,0.0,42.66666666666674,0.03571428571428585,0.9642857142857142
conservative_9,coco_10149_191566.jpg,640,484,1.322314049586777,1152x896,1152,896,1.2857142857142858,1.8512396694214877,1184.7933884297522,896.0,32.79338842975221,0.0,0.027678571428571497,0.9723214285714286
conservative_9,coco_101656_186340.jpg,640,427,1.4988290398126465,1280x768,1280,768,1.6666666666666667,2.0,1280.0,854.0,0.0,86.0,0.10070257611241218,0.8992974238875878
conservative_9,coco_10192_446799.jpg,640,497,1.2877263581488934,1152x896,1152,896,1.2857142857142858,1.8028169014084507,1153.8028169014085,896.0,1.8028169014085051,0.0,0.001562500000000019,0.9984375
conservative_9,coco_102329_433925.jpg,426,640,0.665625,768x1280,768,1280,0.6,2.0,852.0,1280.0,84.0,0.0,0.09859154929577464,0.9014084507042254
conservative_9,coco_102353_451098.jpg,640,427,1.4988290398126465,1280x768,1280,768,1.6666666666666667,2.0,1280.0,854.0,0.0,86.0,0.10070257611241218,0.8992974238875878
conservative_9,coco_102497_215537.jpg,640,457,1.400437636761488,1152x896,1152,896,1.2857142857142858,1.960612691466083,1254.7921225382931,896.0,102.79212253829314,0.0,0.08191964285714287,0.9180803571428571
conservative_9,coco_10249_468383.jpg,426,640,0.665625,768x1280,768,1280,0.6,2.0,852.0,1280.0,84.0,0.0,0.09859154929577464,0.9014084507042254
conservative_9,coco_102532_crowd.jpg,640,427,1.4988290398126465,1280x768,1280,768,1.6666666666666667,2.0,1280.0,854.0,0.0,86.0,0.10070257611241218,0.8992974238875878
conservative_9,coco_102555_crowd.jpg,640,563,1.1367673179396092,1152x896,1152,896,1.2857142857142858,1.8,1152.0,1013.4,0.0,117.39999999999998,0.11584764160252618,0.8841523583974739
conservative_9,coco_102746_crowd.jpg,640,383,1.671018276762402,1280x768,1280,768,1.6666666666666667,2.0052219321148823,1283.3420365535246,767.9999999999999,3.342036553524622,0.0,0.002604166666666348,0.9973958333333337
conservative_9,coco_102837_471724.jpg,640,480,1.3333333333333333,1152x896,1152,896,1.2857142857142858,1.8666666666666667,1194.6666666666667,896.0,42.66666666666674,0.0,0.03571428571428585,0.9642857142857142
conservative_9,coco_102872_crowd.jpg,640,424,1.509433962264151,1280x768,1280,768,1.6666666666666667,2.0,1280.0,848.0,0.0,80.0,0.09433962264150944,0.9056603773584906
