metadata_row,file_name,caption_chars,caption_words
1,images/painting_humanart_10000000001781.jpg,374,57
2,images/danbooru_anime_11921260.jpg,482,82
3,images/painting_humanart_2000000003043.jpg,472,71
4,images/coco_214127_425405.jpg,274,44
5,images/real_human_humanart_17000000002392.jpg,520,85
6,images/coco_162362_crowd.jpg,514,77
7,images/sculpture_humanart_14000000001642.jpg,655,97
8,images/coco_285645_496575.jpg,455,73
9,images/sculpture_humanart_14000000004483.jpg,626,88
10,images/coco_168811_crowd.jpg,416,67
11,images/painting_humanart_9000000002550.jpg,509,82
12,images/painting_humanart_2000000000532.jpg,576,95
13,images/coco_320715_451679.jpg,406,67
14,images/real_human_humanart_15000000001321.jpg,602,93
15,images/coco_510152_427923.jpg,364,58
16,images/painting_humanart_10000000002014.jpg,491,80
17,images/real_human_humanart_15000000002292.jpg,502,77
18,images/painting_humanart_2000000001479.jpg,571,90
19,images/coco_186095_190009.jpg,379,60
20,images/danbooru_anime_11917024.jpg,342,55
21,images/painting_humanart_9000000000289.jpg,434,70
22,images/coco_286124_548943.jpg,358,60
23,images/painting_humanart_2000000002742.jpg,528,74
24,images/coco_246004_476382.jpg,274,44
25,images/sculpture_humanart_14000000000196.jpg,423,63
26,images/real_human_humanart_15000000001311.jpg,327,52
27,images/painting_humanart_9000000000151.jpg,352,53
28,images/coco_293148_500431.jpg,584,95
29,images/real_human_humanart_15000000002152.jpg,698,110
30,images/danbooru_anime_11913551.jpg,477,75
31,images/painting_humanart_10000000004766.jpg,351,55
32,images/coco_128830_crowd.jpg,292,49
33,images/painting_humanart_2000000003279.jpg,616,98
34,images/coco_174145_crowd.jpg,445,74
35,images/real_human_humanart_15000000001514.jpg,360,58
36,images/painting_humanart_6000000001989.jpg,298,47
37,images/danbooru_anime_11921027.jpg,367,62
38,images/painting_humanart_6000000001361.jpg,623,109
39,images/painting_humanart_2000000002711.jpg,526,90
40,images/painting_humanart_9000000001302.jpg,450,73
41,images/painting_humanart_2000000001614.jpg,621,97
42,images/coco_74135_crowd.jpg,436,66
43,images/real_human_humanart_15000000000063.jpg,608,101
44,images/coco_498627_432009.jpg,435,68
45,images/sculpture_humanart_14000000001870.jpg,643,99
46,images/coco_214871_1707990.jpg,419,71
