path,ok,width,height,nonzero_fraction,mean_intensity,max_intensity,bbox_fraction,error
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_100098_193288.png,True,640,427,0.006279274004683841,1.2658628512880563,255,0.03244291569086651,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10012_1730659.png,True,640,480,0.01154296875,2.079140625,255,0.07098958333333333,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10014_crowd.png,True,640,426,0.03756235328638498,6.568232834507042,255,0.3625476819248826,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10023_439238.png,True,640,427,0.01212309718969555,2.2406762295081966,255,0.12295081967213115,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10040_crowd.png,True,640,480,0.041064453125,6.875263671875,255,0.5655078125,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_100438_crowd.png,True,480,640,0.0374609375,6.0170670572916665,255,0.6095247395833333,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_100553_455521.png,True,480,640,0.0291796875,4.335296223958333,255,0.57890625,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_100977_crowd.png,True,640,480,0.017555338541666667,3.1107779947916665,255,0.2608463541666667,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_101088_crowd.png,True,640,480,0.024781901041666665,4.6039811197916665,255,0.22157552083333334,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_101172_183092.png,True,460,640,0.019874320652173913,3.266039402173913,255,0.35093070652173913,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10138_228945.png,True,640,480,0.015055338541666666,2.422978515625,255,0.13530924479166667,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10142_469874.png,True,640,480,0.008551432291666666,1.65806640625,255,0.0476953125,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_101491_crowd.png,True,480,640,0.044029947916666666,7.903238932291667,255,0.5201692708333333,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10149_191566.png,True,640,484,0.01977660123966942,3.2245415805785123,255,0.2075413223140496,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_101656_186340.png,True,640,427,0.013473360655737706,2.1996999414519904,255,0.0832552693208431,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10192_446799.png,True,640,497,0.017998616700201208,2.87724157444668,255,0.1960135814889336,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102329_433925.png,True,426,640,0.016505281690140844,2.849226085680751,255,0.16274207746478872,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102353_451098.png,True,640,427,0.01088992974238876,2.075190281030445,255,0.06531762295081968,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102497_215537.png,True,640,457,0.013676148796498906,2.3884128829321662,255,0.1337527352297593,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_10249_468383.png,True,426,640,0.019887030516431925,3.411406983568075,255,0.3303257042253521,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102532_crowd.png,True,640,427,0.045403981264637,8.031725702576113,255,0.5386855971896956,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102555_crowd.png,True,640,563,0.026534746891651865,4.229984458259325,255,0.41043516873889874,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102746_crowd.png,True,640,383,0.08761422976501305,16.690208877284594,255,0.5407310704960836,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102837_471724.png,True,640,480,0.005777994791666667,1.1912955729166668,255,0.024921875,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102872_crowd.png,True,640,424,0.05461379716981132,9.445950029481132,255,0.7029849646226415,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102908_430597.png,True,424,640,0.017578125,3.082462411556604,255,0.4171211674528302,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_102928_447164.png,True,421,640,0.025211549881235154,3.875916716152019,255,0.327479216152019,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103114_crowd.png,True,640,480,0.015319010416666667,2.673916015625,255,0.107529296875,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103134_crowd.png,True,640,429,0.02098630536130536,3.6139350233100234,255,0.22576121794871795,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103163_crowd.png,True,612,612,0.027249134948096887,4.354228074672134,255,0.3876180101670298,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103227_486387.png,True,640,566,0.0185098277385159,3.0682172040636044,255,0.24737742932862192,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103413_497545.png,True,640,426,0.013508656103286385,2.4595657276995304,255,0.16466769366197184,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\conditioning_images\coco_103431_crowd.png,True,640,548,0.07105668339416059,11.44880246350365,255,0.7948106751824817,
